../../data/geometry3k/symbols/0.png,198,93,338,145,text
../../data/geometry3k/symbols/0.png,142,180,312,233,text
../../data/geometry3k/symbols/0.png,591,199,746,247,text
../../data/geometry3k/symbols/0.png,552,294,712,343,text
../../data/geometry3k/symbols/0.png,71,134,117,182,text
../../data/geometry3k/symbols/0.png,153,360,199,408,text
../../data/geometry3k/symbols/0.png,452,92,498,140,text
../../data/geometry3k/symbols/0.png,393,287,439,335,text
../../data/geometry3k/symbols/0.png,698,26,744,74,text
../../data/geometry3k/symbols/0.png,768,243,814,291,text
../../data/geometry3k/symbols/1.png,150,10,223,37,text
../../data/geometry3k/symbols/1.png,288,14,315,44,text
../../data/geometry3k/symbols/1.png,62,15,92,43,text
../../data/geometry3k/symbols/1.png,6,101,56,130,text
../../data/geometry3k/symbols/1.png,130,57,207,86,text
../../data/geometry3k/symbols/1.png,213,45,254,71,text
../../data/geometry3k/symbols/1.png,219,81,265,107,text
../../data/geometry3k/symbols/1.png,117,105,145,133,text
../../data/geometry3k/symbols/1.png,169,114,209,141,text
../../data/geometry3k/symbols/1.png,257,122,330,150,text
../../data/geometry3k/symbols/1.png,193,144,238,171,text
../../data/geometry3k/symbols/1.png,219,206,245,233,text
../../data/geometry3k/symbols/1.png,107,154,179,180,text
../../data/geometry3k/symbols/1.png,43,155,81,181,text
../../data/geometry3k/symbols/1.png,1,205,31,234,text
../../data/geometry3k/symbols/1.png,100,208,135,237,text
../../data/geometry3k/symbols/10.png,783,98,827,145,perpendicular
../../data/geometry3k/symbols/10.png,475,303,523,347,perpendicular
../../data/geometry3k/symbols/10.png,814,294,867,345,perpendicular
../../data/geometry3k/symbols/10.png,170,290,230,330,text
../../data/geometry3k/symbols/10.png,451,186,477,224,text
../../data/geometry3k/symbols/10.png,490,162,511,200,text
../../data/geometry3k/symbols/10.png,548,137,608,179,text
../../data/geometry3k/symbols/10.png,390,194,413,229,text
../../data/geometry3k/symbols/10.png,368,289,428,331,text
../../data/geometry3k/symbols/10.png,693,290,755,331,text
../../data/geometry3k/symbols/10.png,927,94,954,133,text
../../data/geometry3k/symbols/10.png,842,251,869,288,text
../../data/geometry3k/symbols/10.png,801,264,825,304,text
../../data/geometry3k/symbols/100.png,34,12,61,43,text
../../data/geometry3k/symbols/100.png,12,137,45,165,text
../../data/geometry3k/symbols/100.png,18,243,46,276,text
../../data/geometry3k/symbols/100.png,66,250,98,279,text
../../data/geometry3k/symbols/100.png,117,243,144,273,text
../../data/geometry3k/symbols/100.png,45,220,74,249,perpendicular
../../data/geometry3k/symbols/1000.png,311,45,355,91,text
../../data/geometry3k/symbols/1000.png,133,129,247,178,text
../../data/geometry3k/symbols/1000.png,83,283,130,331,text
../../data/geometry3k/symbols/1000.png,272,289,391,339,text
../../data/geometry3k/symbols/1000.png,532,284,573,329,text
../../data/geometry3k/symbols/1000.png,212,172,258,215,bar
../../data/geometry3k/symbols/1000.png,412,175,452,213,bar
../../data/geometry3k/symbols/1000.png,427,129,539,175,text
../../data/geometry3k/symbols/1001.png,129,20,160,52,text
../../data/geometry3k/symbols/1001.png,259,148,289,182,text
../../data/geometry3k/symbols/1001.png,88,130,115,158,text
../../data/geometry3k/symbols/1001.png,126,169,155,199,text
../../data/geometry3k/symbols/1001.png,34,148,63,182,text
../../data/geometry3k/symbols/1001.png,80,263,124,299,text
../../data/geometry3k/symbols/1001.png,135,139,172,168,perpendicular
../../data/geometry3k/symbols/1001.png,76,161,110,188,perpendicular
../../data/geometry3k/symbols/1002.png,113,37,140,63,perpendicular
../../data/geometry3k/symbols/1002.png,165,161,193,188,perpendicular
../../data/geometry3k/symbols/1002.png,203,52,226,76,text
../../data/geometry3k/symbols/1002.png,217,117,243,144,text
../../data/geometry3k/symbols/1002.png,135,65,161,92,text
../../data/geometry3k/symbols/1002.png,91,111,117,138,text
../../data/geometry3k/symbols/1002.png,156,133,182,160,text
../../data/geometry3k/symbols/1002.png,92,214,118,241,text
../../data/geometry3k/symbols/1002.png,181,194,207,221,text
../../data/geometry3k/symbols/1002.png,42,32,65,57,text
../../data/geometry3k/symbols/1002.png,128,6,151,31,text
../../data/geometry3k/symbols/1003.png,229,36,267,78,text
../../data/geometry3k/symbols/1003.png,52,152,100,202,text
../../data/geometry3k/symbols/1003.png,228,404,269,451,text
../../data/geometry3k/symbols/1003.png,177,130,241,174,text
../../data/geometry3k/symbols/1004.png,48,163,75,193,perpendicular
../../data/geometry3k/symbols/1004.png,104,198,133,224,perpendicular
../../data/geometry3k/symbols/1004.png,64,82,81,107,text
../../data/geometry3k/symbols/1004.png,132,103,147,122,text
../../data/geometry3k/symbols/1004.png,22,182,37,205,text
../../data/geometry3k/symbols/1004.png,64,223,83,244,text
../../data/geometry3k/symbols/1004.png,84,177,100,196,text
../../data/geometry3k/symbols/1005.png,207,12,252,62,text
../../data/geometry3k/symbols/1005.png,443,190,476,235,text
../../data/geometry3k/symbols/1005.png,250,313,286,354,text
../../data/geometry3k/symbols/1005.png,13,185,51,230,text
../../data/geometry3k/symbols/1005.png,89,177,126,219,text
../../data/geometry3k/symbols/1005.png,168,128,306,170,text
../../data/geometry3k/symbols/1005.png,191,221,332,263,text
../../data/geometry3k/symbols/1005.png,362,196,397,237,text
../../data/geometry3k/symbols/1006.png,147,115,205,167,text
../../data/geometry3k/symbols/1006.png,316,107,369,157,text
../../data/geometry3k/symbols/1006.png,313,254,431,304,text
../../data/geometry3k/symbols/1006.png,114,341,235,393,text
../../data/geometry3k/symbols/1006.png,101,253,141,294,angle
../../data/geometry3k/symbols/1006.png,109,288,140,328,angle
../../data/geometry3k/symbols/1007.png,442,98,506,131,double bar
